id,name
1,"Afghanistan"
2,"Albania"
3,"Algeria"
4,"Andorra"
5,"Angola"
6,"Antigua and Barbuda"
7,"Argentina"
8,"Armenia"
9,"Australia"
10,"Austria"
11,"Azerbaijan"
12,"Bahamas"
13,"Bahrain"
14,"Bangladesh"
15,"Barbados"
16,"Belarus"
17,"Belgium"
18,"Belize"
19,"Benin"
20,"Bhutan"
21,"Bolivia"
22,"Bosnia and Herzegovina"
23,"Botswana"
24,"Brazil"
25,"Brunei"
26,"Bulgaria"
27,"Burkina Faso"
28,"Burundi"
29,"Cabo Verde"
30,"Cambodia"
31,"Cameroon"
32,"Canada"
33,"Central African Republic (CAR)"
34,"Chad"
35,"Chile"
36,"China"
37,"Colombia"
38,"Comoros"
39,"Congo (Congo-Brazzaville)"
40,"Congo Democratic Republic"
41,"Costa Rica"
42,"Cote d'Ivoire"
43,"Croatia"
44,"Cuba"
45,"Cyprus"
46,"Czechia"
47,"Denmark"
48,"Djibouti"
49,"Dominica"
50,"Dominican Republic"
51,"Ecuador"
52,"Egypt"
53,"El Salvador"
54,"Equatorial Guinea"
55,"Eritrea"
56,"Estonia"
57,"Eswatini (formerly Swaziland)"
58,"Ethiopia"
59,"Fiji"
60,"Finland"
61,"France"
62,"Gabon"
63,"Gambia"
64,"Georgia"
65,"Germany"
66,"Ghana"
67,"Greece"
68,"Grenada"
69,"Guatemala"
70,"Guinea"
71,"Guinea-Bissau"
72,"Guyana"
73,"Haiti"
74,"Honduras"
75,"Hungary"
76,"Iceland"
77,"India"
78,"Indonesia"
79,"Iran"
80,"Iraq"
81,"Ireland"
82,"Israel"
83,"Italy"
84,"Jamaica"
85,"Japan"
86,"Jordan"
87,"Kazakhstan"
88,"Kenya"
89,"Kiribati"
90,"Kosovo"
91,"Kuwait"
92,"Kyrgyzstan"
93,"Laos"
94,"Latvia"
95,"Lebanon"
96,"Lesotho"
97,"Liberia"
98,"Libya"
99,"Liechtenstein"
100,"Lithuania"
101,"Luxembourg"
102,"Madagascar"
103,"Malawi"
104,"Malaysia"
105,"Maldives"
106,"Mali"
107,"Malta"
108,"Marshall Islands"
109,"Mauritania"
110,"Mauritius"
111,"Mexico"
112,"Micronesia"
113,"Moldova"
114,"Monaco"
115,"Mongolia"
116,"Montenegro"
117,"Morocco"
118,"Mozambique"
119,"Myanmar (formerly Burma)"
120,"Namibia"
121,"Nauru"
122,"Nepal"
123,"Netherlands"
124,"New Zealand"
125,"Nicaragua"
126,"Niger"
127,"Nigeria"
128,"North Korea"
129,"North Macedonia (formerly Macedonia)"
130,"Norway"
131,"Oman"
132,"Pakistan"
133,"Palau"
134,"Palestine"
135,"Panama"
136,"Papua New Guinea"
137,"Paraguay"
138,"Peru"
139,"Philippines"
140,"Poland"
141,"Portugal"
142,"Qatar"
143,"Romania"
144,"Russia"
145,"Rwanda"
146,"Saint Kitts and Nevis"
147,"Saint Lucia"
148,"Saint Vincent and the Grenadines"
149,"Samoa"
150,"San Marino"
151,"Sao Tome and Principe"
152,"Saudi Arabia"
153,"Senegal"
154,"Serbia"
155,"Seychelles"
156,"Sierra Leone"
157,"Singapore"
158,"Slovakia"
159,"Slovenia"
160,"Solomon Islands"
161,"Somalia"
162,"South Africa"
163,"South Korea"
164,"South Sudan"
165,"Spain"
166,"Sri Lanka"
167,"Sudan"
168,"Suriname"
169,"Sweden"
170,"Switzerland"
171,"Syria"
172,"Taiwan"
173,"Tajikistan"
174,"Tanzania"
175,"Thailand"
176,"Timor-Leste"
177,"Togo"
178,"Tonga"
179,"Trinidad and Tobago"
180,"Tunisia"
181,"Turkey"
182,"Turkmenistan"
183,"Tuvalu"
184,"Uganda"
185,"Ukraine"
186,"United Arab Emirates (UAE)"
187,"United Kingdom (UK)"
188,"United States of America (USA)"
189,"Uruguay"
190,"Uzbekistan"
191,"Vanuatu"
192,"Vatican City (Holy See)"
193,"Venezuela"
194,"Vietnam"
195,"Yemen"
196,"Zambia"
197,"Zimbabwe"